geometry_id,pathway,path_index,reaction_coordinate_deg,full_rhf_energy_hartree,active_rhf_energy_hartree,frozen_core_bias_millihartree,preliminary_cycle_1_energy_hartree,preliminary_cycle_2_energy_hartree,active_scf_cycles
ip_108p736,in_plane,0,108.736,-108.54483062280936,-108.54483047706509,0.00014574426643321203,-108.53903669469089,-108.54451458946018,17
ip_127p473,in_plane,1,127.473,-108.53334060797545,-108.53334039627231,0.00021170313857510337,-108.52829161327762,-108.53294903774801,18
ip_146p210,in_plane,2,146.21,-108.49925146212803,-108.49925090414713,0.0005579808970423983,-108.49305913039012,-108.49838832831057,19
ip_164p947,in_plane,3,164.947,-108.46392771410645,-108.46392663068349,0.0010834229584588684,-108.45519183946267,-108.46249695515009,17
ip_182p000,in_plane,4,182.0,-108.45099080295036,-108.45098967565227,0.0011272980913190622,-108.44145625956365,-108.44967615821453,19
ip_200p526,in_plane,5,200.526,-108.4678922642058,-108.46789160131556,0.0006628902440297679,-108.46062826256332,-108.4669412755556,19
ip_219p052,in_plane,6,219.052,-108.50665673497222,-108.50665646920932,0.0002657629067925882,-108.50210484864674,-108.50609969582659,19
ip_237p578,in_plane,7,237.578,-108.54312784579439,-108.54312774218124,0.00010361314650708664,-108.5397835557382,-108.54279345782119,19
ip_256p105,in_plane,8,256.105,-108.55684952780769,-108.55684947904,4.8767688554107735e-05,-108.55376535108863,-108.55654034041797,18
oop_003p157,out_of_plane,0,3.157,-108.54508106793861,-108.54508092564123,0.00014229738098947564,-108.53952552208568,-108.54477455561889,19
oop_026p315,out_of_plane,1,26.315,-108.53406855696275,-108.53406840991471,0.00014704804129905824,-108.52817753020216,-108.53363660873728,19
oop_049p473,out_of_plane,2,49.473,-108.50616970487452,-108.50616954801154,0.00015686298127093323,-108.49922390515418,-108.50535369055906,19
oop_072p631,out_of_plane,3,72.631,-108.46452527655163,-108.46452509935108,0.00017720054756864556,-108.45559513374707,-108.46292760943669,20
oop_095p641,out_of_plane,4,95.641,-108.41813327307733,-108.41813301647082,0.00025660651203907037,-108.41226783064158,-108.41784369434023,23
oop_117p611,out_of_plane,5,117.611,-108.47703665174492,-108.47703651695784,0.00013478708638103853,-108.47276273587426,-108.4767455472369,19
oop_139p581,out_of_plane,6,139.581,-108.52218689586925,-108.52218682060453,7.526472245444893e-05,-108.51871305555747,-108.5218887532277,19
oop_161p551,out_of_plane,7,161.551,-108.54954517264157,-108.54954511847038,5.4171195529306715e-05,-108.54639428511753,-108.54924063815618,17
oop_183p522,out_of_plane,8,183.522,-108.55666815448225,-108.55666810381788,5.06643687003816e-05,-108.55358266025715,-108.55636185314827,17
