bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
0,0.013688662183800862,-1.9595172444092863,-1.9464517421106338,-12.775617952977214,0.2898843456753397,0.02780229796284337,0.022974610333875604,0.01571192025183427,0.9997360901248483,0.9994722498981189
1,0.017263989848613978,-1.9436016279499337,-1.9458854077066252,3.1399985063753633,0.8562187496838902,0.03345869620680447,0.03154160207732363,0.011263232051680373,0.9995025643470762,0.9990053761363812
2,0.022115682519618683,-1.9381958053866917,-1.944861214482039,8.545821069617432,1.8804119742701353,0.056421896054279844,0.05516702874910354,0.012671538314269485,0.9984783443038087,0.9969590040436751
3,0.018009085489271378,-1.946582669966214,-1.9454229349368608,0.158956490095008,1.3186915194483007,0.04690537031924591,0.04589726378484189,0.009445900182089571,0.99894682035853,0.9978947499044172
4,0.013672642802029369,-1.9567820656829953,-1.9466287578401495,-10.040439226686182,0.11286861615955601,0.01953200346681642,0.01188191467365562,0.015598330487587483,0.9999294110020537,0.999858826986914
5,0.01349841090353609,-1.9489859313912528,-1.9462890539115933,-2.244304934943653,0.4525725447157569,0.027985066323044684,0.02645004429705453,0.008930853724588678,0.9996502157723829,0.9993005538937717
6,0.019491998503189376,-1.9589059834186553,-1.9465777122214576,-12.16435696234619,0.16391423485151435,0.028598220126821693,0.018361938450191472,0.02211246079137278,0.9998314259315911,0.9996628802803988
7,0.018396650291010525,-1.9435554025613462,-1.9459855295595305,3.186223894962925,0.7560968967785797,0.03921426598997302,0.037863214294759015,0.010149981379293193,0.9992832178586245,0.9985669494938872
8,0.01863076145885903,-1.955639022268605,-1.9459597059771812,-8.897395812295983,0.781920479127951,0.03591793600257798,0.034861644825058394,0.008259799286302402,0.9993924203004454,0.9987852097539821
9,0.012371164344471221,-1.9408289254819102,-1.9466233811718199,5.912700974398888,0.11824528448922678,0.014651157081256107,0.013213538564778587,0.006381414420016998,0.9999127017298441,0.9998254110806762
10,0.021719297121190174,-1.946646920711517,-1.9466974900854483,0.09470574479220062,0.044136370860758944,0.013860514439032516,0.009374158955988796,0.010195527561141683,0.9999560626469838,0.9999121272244585
11,0.023183428863253863,-1.92670586925986,-1.9452534701179485,20.035757196449122,1.4881563383606355,0.051221639025267225,0.04800299839567793,0.018537022090940092,0.9988478584013056,0.9976970442328748
12,0.020853618474368597,-1.9189773193515098,-1.9455664207200816,27.76430710479927,1.1752057362275359,0.056193179273202776,0.04790709939811813,0.03005921655665699,0.9988526062497203,0.9977065290118587
13,0.02375636740582124,-1.9597546664388303,-1.9448929129295667,-13.013039982521235,1.8487135267424293,0.05777625378755942,0.056419633291753556,0.010964497708513576,0.998408531375081,0.9968195955225462
14,0.019400186677375645,-1.9371317908765031,-1.9460233393791275,9.609835579805992,0.7182870771815786,0.03602966020400873,0.033900970876264945,0.012357066854638265,0.9994253655087445,0.9988510612222875
15,0.02152996748275825,-1.9496187817572312,-1.945625743689116,-2.8771553009221407,1.1158827671930993,0.04491947749546838,0.0408113041388296,0.018736392822525916,0.9991672187272519,0.998335130979152
16,0.01704142245902604,-1.941010303107743,-1.9462592659874887,5.731323348566075,0.4823604688204419,0.027860954333194254,0.02426070242050747,0.01372509483573794,0.9997057203699056,0.9994115273403118
17,0.02033259376547024,-1.9415979133617205,-1.9459856021267432,5.143713094588609,0.7560243295658964,0.03373729623579924,0.030612677597355965,0.01415737510981465,0.9995314435253811,0.9990631065959322
18,0.017669897898770784,-1.9201678333843504,-1.94611685408856,26.57379307195873,0.6247723677490491,0.03713065277473417,0.03152338266780947,0.01981695067360267,0.9995031765165332,0.9990065998666401
19,0.03273680186958211,-1.946199472649562,-1.9451380588668015,0.5421538067471587,1.6035675895076373,0.046846801931873225,0.04549859814345124,0.011103168342865018,0.9989649423713495,0.9979309560869936
20,0.01958531247482351,-1.9521266706085687,-1.9465178983974265,-5.385044152259599,0.2237280588825996,0.02207709548418807,0.02050861087563811,0.008238669795543442,0.9997896984723046,0.9995794411713417
21,0.01973895023403567,-1.9439129011261531,-1.9464215884410991,2.82872533015599,0.3200380152099669,0.025347013279475857,0.021629365273008752,0.013370856937758335,0.9997660917813997,0.9995322382758542
22,0.0225968288714548,-1.9785417684089783,-1.9457993697754536,-31.800141952669225,0.9422566808554578,0.048697355765195946,0.03856275175282248,0.02969650656642961,0.9992565420460395,0.9985136368218084
23,0.018274730915274248,-1.9572195276295192,-1.9460783855257915,-10.477901173210125,0.6632409305176168,0.04017466924884415,0.03440775154975332,0.020436772029848563,0.9994080903857073,0.9988165311284062
24,0.021311711771953564,-1.9418262252132596,-1.9466281637249223,4.915401243049455,0.11346273138679308,0.019071061452198262,0.012780106244833821,0.014028496925900516,0.9999183344640213,0.9998366755973025
25,0.014004395382504298,-1.9600835577297728,-1.9465171409658895,-13.341931273463725,0.22448549041964583,0.02191138511826441,0.018158140724713542,0.012185181902622551,0.9998351441560569,0.9996703154895631
26,0.019557067885136267,-1.9398065855056632,-1.9462985222969695,6.935040950645899,0.44310415933956904,0.03372228442924757,0.027376587633083198,0.019511476597121023,0.9996252739758241,0.9992506883712414
27,0.0297419109265539,-1.9354444222585154,-1.94285842667657,11.297204197793675,3.883199779739055,0.07166885484493839,0.06775070641486626,0.023028693210862008,0.9977049314344036,0.9954151302085281
28,0.014794692727392497,-1.9599466688344191,-1.9462744015031401,-13.205042378110043,0.4672249531689765,0.028884210982449633,0.025483950268426918,0.013558336844908375,0.9996752878880379,0.9993506812140316
29,0.0167332869697756,-1.9502543602048632,-1.9452885127050326,-3.5127337485540977,1.4531137512765469,0.04974103313117956,0.0483659928884346,0.011351955514359635,0.99883059868157,0.9976625648625835
30,0.021478034013964906,-1.9272313570387591,-1.9452316170783297,19.510269417549964,1.5100093779794044,0.05036988929205861,0.04848804581547568,0.013949960214996997,0.9988244810592717,0.9976503439633234
31,0.020291752644812637,-1.9372287059624098,-1.946144565800689,9.51292049389929,0.5970606556200408,0.03159613151973228,0.02867105088537332,0.013377674237325443,0.9995889945617921,0.9991781580490544
32,0.019563326227759872,-1.938682279665956,-1.9465854835622156,8.059346790353139,0.1561428940934917,0.030558804482392305,0.014593733717395935,0.026768033271983245,0.9998935114680934,0.9997870342759941
33,0.018959991719190314,-1.9657101909425145,-1.9464469052150182,-18.96856448620543,0.29472124129092947,0.027223101910969737,0.020653510208398784,0.017663157822144927,0.9997867178969935,0.9995734812832424
34,0.019137186973216543,-1.939395414628011,-1.9455304574045733,7.346211828298088,1.2111690517357943,0.0443448248478674,0.038451573981545736,0.022165365595902157,0.9992607869990965,0.9985221204340536
35,0.01750242845741931,-1.976347088588274,-1.9458904987292287,-29.6054621319648,0.851127727080403,0.04723029920489232,0.03927838403805398,0.025846881069096134,0.9992286993970724,0.9984579936987649
